# 3D point list with one line of data per point:
#   POINT3D_ID, X, Y, Z, R, G, B, ERROR, TRACK[] as (IMAGE_ID, POINT2D_IDX)
# Number of points: 495, mean track length: 2.6020202020202019
12 -1.5693478148437749 -2.7878153779342916 14.429106506051887 109 90 83 0.1236803864864138 82 2002 8 0
11 1.0095389539703068 5.2894684927957227 17.390718086679591 133 107 90 0.28791832970352216 82 1961 8 252
10 -3.1805768626700774 4.5630997239236333 17.203250700392843 151 107 90 1.5353788930902248 82 1905 8 221 70 196
9 0.72417729032793454 2.429622624627461 17.15889235591186 68 49 39 0.0503398031273685 82 1749 8 154
8 -5.1196282046440791 1.5184397598262618 16.45858457121097 106 74 51 0.33058702888155284 82 1705 8 132
7 -2.2403628946500396 0.82309442287052148 12.257472690011587 188 160 158 1.0245779035209222 82 1658 8 117
6 0.98081761221111796 0.74759494139593308 16.314748119179605 143 120 100 0.26365719842015345 82 1640 8 98
5 -0.35677661876344324 0.5358979806740175 16.48578227946016 134 95 83 0.265396147039687 82 1639 8 95
4 -4.6591918590847161 -0.59252761751926841 15.493823781459191 91 47 12 0.42559545869615512 82 1561 8 63
3 0.20978164499223531 -0.88626207076509866 15.628718129268547 29 11 1 0.081808690703546127 82 1550 8 56
2 -0.27261640802185405 -1.1221247829187708 15.539028544175496 38 25 16 0.046809520116869958 82 1537 8 52
1 0.28732532581571002 1.1428164353762873 16.464972962490087 154 126 116 0.56747194530949341 82 766 8 125
14 -0.95571873268157581 -2.5521755710812593 14.613256791483575 50 35 34 0.046732903323585845 82 2013 8 7
15 -4.1630344804804604 -1.9705524827060972 14.775382675951157 51 43 45 0.077849973054530813 82 2022 8 9
16 -1.0813551701684767 -2.162182221583075 14.961871017832161 62 48 39 0.059399585072525199 82 2026 8 13
17 -0.76127414791989068 -2.1837207791357898 14.914785655220635 65 53 46 0.30776794663853374 82 2027 8 14
18 0.11545884732490452 -1.996040335807469 14.922167714700324 46 26 12 0.20276206756759202 82 2029 8 18
19 0.17048268004933087 -1.830479614088423 15.017361008596392 91 69 50 0.18071646940761454 82 2035 8 24
20 -0.91362817172600008 -1.54664148653228 15.376396091081558 56 46 30 0.37252798290738898 82 2038 8 38
21 -3.7034695023444688 -1.3767734014284538 15.335858071340159 191 169 158 0.12806829850781998 82 2044 8 32
